epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,16608.7,1.31887,0.56475,0.00989,0.97327,0.9405,0.98158,0.65275,1.23407,0.37588,0.01099,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,17103.9,1.3157,0.56471,0.00982,0.94948,0.94347,0.97916,0.65869,1.20802,0.39005,0.01036,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,17604.9,1.31159,0.55471,0.00982,0.96306,0.94019,0.98045,0.65935,1.22763,0.38068,0.01092,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,18106.2,1.29705,0.55598,0.00973,0.95692,0.94883,0.98035,0.66322,1.20765,0.38424,0.01045,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,18595.2,1.32012,0.56259,0.00969,0.96474,0.95565,0.98333,0.66901,1.2044,0.37318,0.01048,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,19075.8,1.28864,0.54335,0.0097,0.96438,0.94639,0.98403,0.67256,1.19107,0.37735,0.01038,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,19562.3,1.3083,0.5566,0.00966,0.97103,0.94728,0.98536,0.67137,1.19561,0.37046,0.01053,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,20041.1,1.29071,0.53933,0.00958,0.96303,0.95614,0.98302,0.67498,1.19065,0.35774,0.01046,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,20521.3,1.28348,0.5281,0.00939,0.96587,0.95151,0.98183,0.67873,1.19119,0.36318,0.01035,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,21003.3,1.28001,0.53672,0.00924,0.9674,0.95029,0.98563,0.67104,1.19533,0.3551,0.01041,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,21485.1,1.26391,0.53605,0.00931,0.95724,0.93825,0.98366,0.66927,1.18594,0.3763,0.01037,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,21964.7,1.24934,0.52615,0.00915,0.96667,0.94152,0.98154,0.67121,1.19001,0.36409,0.01059,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,22449.4,1.26404,0.51086,0.00938,0.95944,0.95273,0.98185,0.67834,1.17345,0.36518,0.01024,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,22935.5,1.2553,0.50389,0.0092,0.97258,0.9576,0.98646,0.67967,1.16668,0.34712,0.0102,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,23418.1,1.25071,0.50806,0.00912,0.95748,0.96248,0.98337,0.67998,1.17696,0.34987,0.01014,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,23896.4,1.2595,0.51047,0.00914,0.96172,0.95565,0.98452,0.68251,1.17391,0.35612,0.01031,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,24378.8,1.24426,0.49603,0.00898,0.96732,0.952,0.98654,0.68251,1.1717,0.34706,0.01033,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,24868.3,1.237,0.49431,0.00907,0.95934,0.95419,0.98687,0.68971,1.15336,0.35228,0.00984,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,25350.5,1.23255,0.50336,0.00897,0.96298,0.95075,0.98346,0.6866,1.16522,0.35778,0.0104,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,25835.2,1.23961,0.49363,0.00894,0.97132,0.9571,0.9863,0.68807,1.15987,0.33955,0.00987,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,26315.4,1.23157,0.49992,0.0089,0.9745,0.95029,0.9881,0.69306,1.14412,0.33953,0.00969,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,26800.4,1.23427,0.50279,0.00896,0.96695,0.95273,0.98723,0.6908,1.14031,0.35081,0.00967,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,27281.9,1.20423,0.49142,0.00885,0.97031,0.96199,0.98775,0.69078,1.14854,0.34044,0.00981,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,27761.9,1.22776,0.48467,0.00877,0.96984,0.95175,0.98824,0.6925,1.13564,0.34538,0.00953,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,28246.9,1.2098,0.49028,0.00873,0.97181,0.95753,0.98839,0.69164,1.14524,0.33607,0.00997,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,28725,1.21397,0.47149,0.0087,0.9719,0.96069,0.98949,0.69576,1.13691,0.32735,0.00948,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
